UID,TERM,PELL,GRADUATED
615808,201124,2082.0,Yes
616021,201018,2775.0,Yes
616201,201018,1200.0,Yes
616358,201018,2000.0,Yes
616425,201018,2775.0,No
616464,201018,1550.0,Yes
616646,201018,1300.0,Yes
616861,201018,2775.0,Yes
617083,201128,700.0,Yes
617088,201018,2600.0,Yes
617673,201018,2775.0,Yes
617966,201018,2775.0,Yes
618075,201018,2775.0,Yes
618237,201018,1800.0,Yes
618351,201018,2775.0,Yes
618441,202344,973.0,No
618488,201018,1600.0,Yes
618522,201018,277.0,Yes
618676,201018,2082.0,Yes
618936,201018,1650.0,Yes
618971,201018,2350.0,Yes
618990,201018,2775.0,Yes
619021,201018,2775.0,Yes
619242,201018,1900.0,Yes
619251,201018,2775.0,Yes
619317,201018,300.0,Yes
619462,201018,600.0,Yes
619584,201018,2700.0,Yes
619593,201018,2775.0,Yes
619633,201018,1400.0,Yes
619766,201018,2775.0,Yes
619783,201018,2350.0,Yes
619887,201018,2750.0,Yes
620142,201018,2050.0,Yes
620336,201018,2775.0,Yes
620360,201018,1850.0,No
620606,201018,2775.0,Yes
620685,201018,1250.0,Yes
620786,201018,2100.0,No
620812,201018,1300.0,Yes
621018,201124,2775.0,No
616454,201018,1350.0,Yes
621087,201018,2775.0,Yes
621120,201018,350.0,No
621354,201018,1800.0,Yes
621396,201018,2100.0,Yes
621409,201124,1300.0,Yes
621476,201018,900.0,Yes
621554,201124,350.0,No
621612,201018,2775.0,Yes
621925,201018,588.0,No
622235,201124,2150.0,Yes
622294,201018,2350.0,Yes
622366,201124,2150.0,Yes
622438,201018,2775.0,Yes
622524,201018,1000.0,No
622635,201018,2775.0,Yes
622697,201018,2775.0,Yes
622717,201018,2775.0,Yes
622751,201018,2600.0,No
524704,201018,588.0,Yes
623033,201018,1050.0,Yes
623054,201454,2865.0,Yes
623066,201018,1300.0,No
623322,201018,2082.0,Yes
623722,201128,2775.0,Yes
624072,201018,2775.0,Yes
624286,201018,277.0,Yes
624337,201128,1500.0,Yes
624426,201018,588.0,Yes
624442,201124,2750.0,Yes
624537,201124,2775.0,Yes
624589,201018,2775.0,Yes
624715,201128,2775.0,No
624742,201018,2775.0,Yes
624761,201018,2775.0,Yes
524428,201018,1850.0,Yes
624976,201018,2775.0,Yes
624985,201124,1200.0,Yes
338276,201018,2775.0,Yes
625134,201018,2775.0,Yes
625467,201018,1250.0,Yes
625487,201018,2700.0,Yes
625573,201128,2775.0,No
625665,201018,1050.0,Yes
625692,201458,2865.0,No
625723,201018,588.0,Yes
625814,201348,2822.0,No
625835,201018,2775.0,Yes
625840,201018,2350.0,Yes
625912,201124,2775.0,No
625933,201018,2550.0,Yes
626002,201018,1550.0,Yes
626253,201018,2775.0,No
626254,201234,2775.0,No
626323,201018,2775.0,Yes
626344,201018,2775.0,Yes
626635,201234,2775.0,Yes
626636,201018,1500.0,Yes
626893,201018,1400.0,Yes
626898,201018,1000.0,Yes
626969,201018,600.0,Yes
627083,201124,1000.0,Yes
627084,201124,1000.0,Yes
627247,201018,2100.0,Yes
627588,201018,1850.0,Yes
627627,201018,2150.0,Yes
627694,201018,2775.0,Yes
627739,201128,2750.0,Yes
627753,201018,2775.0,Yes
627912,201018,2775.0,No
627964,201018,277.0,Yes
627967,201344,2823.0,No
628015,201018,1350.0,Yes
628323,201018,2775.0,Yes
628350,201124,2775.0,Yes
628351,201018,277.0,Yes
628504,201124,1200.0,Yes
628622,201018,950.0,Yes
628692,201018,1750.0,Yes
629062,201018,2775.0,No
629325,201124,2775.0,Yes
629374,201458,2240.0,Yes
629382,201018,277.0,Yes
629495,201018,1900.0,Yes
629680,201128,1400.0,Yes
629695,201018,2775.0,No
629936,201018,2650.0,Yes
629949,201018,1900.0,No
629950,201348,2747.0,Yes
629976,201234,2750.0,Yes
629981,201018,2775.0,Yes
630100,201018,2775.0,Yes
630206,201018,1750.0,Yes
630317,201018,2775.0,Yes
630318,201018,350.0,Yes
630630,201018,1450.0,Yes
630803,201124,2775.0,Yes
630804,201124,2600.0,Yes
631009,201018,2775.0,Yes
631312,201124,2775.0,Yes
631562,201018,1400.0,Yes
631827,201018,1800.0,Yes
632104,201018,900.0,Yes
632125,201234,2775.0,Yes
632132,201018,2000.0,Yes
632177,201018,2775.0,Yes
632260,201128,1050.0,Yes
632323,201238,900.0,Yes
632410,201018,2775.0,Yes
632445,201784,2960.0,Yes
632657,201018,277.0,Yes
632816,201018,2775.0,Yes
633068,201018,1500.0,No
633491,201018,2050.0,Yes
633531,201018,1000.0,Yes
289997,201018,2775.0,Yes
633672,201018,2400.0,Yes
633675,201018,1700.0,Yes
633688,201018,1450.0,No
633866,201238,1666.0,No
633964,201128,2775.0,No
633991,201018,2775.0,Yes
634220,201018,2775.0,Yes
634309,201018,1150.0,Yes
634368,201344,2823.0,No
634771,201124,2750.0,Yes
634928,201018,2775.0,Yes
635082,201124,2150.0,Yes
635497,201018,400.0,Yes
635590,201128,1200.0,Yes
635932,201124,1650.0,Yes
636062,201018,2775.0,Yes
636245,201018,1900.0,Yes
636340,201018,2300.0,Yes
636364,201128,550.0,Yes
637027,201018,1300.0,Yes
637215,201124,278.0,Yes
637376,201018,277.0,Yes
637500,201018,2775.0,Yes
637565,201018,1100.0,Yes
637786,201018,1400.0,Yes
638017,201238,2600.0,Yes
638103,201018,2775.0,Yes
638165,201018,750.0,Yes
638540,201018,2775.0,Yes
638541,201124,2775.0,Yes
639498,201128,277.0,Yes
639505,201018,2000.0,Yes
639506,201018,300.0,No
639583,201018,2775.0,Yes
639805,201454,2340.0,Yes
639806,201784,2735.0,Yes
639902,201124,2750.0,Yes
640101,201124,2500.0,No
640121,201018,2300.0,Yes
640153,201018,2750.0,Yes
640163,201018,1750.0,Yes
523057,201018,2775.0,Yes
640255,201018,1100.0,No
640322,201018,1900.0,Yes
640647,201018,2775.0,Yes
531575,201124,2100.0,Yes
642093,201018,2775.0,No
642381,201018,600.0,Yes
642979,201124,2775.0,No
643259,201018,2775.0,Yes
643735,201018,2775.0,Yes
644198,201018,2350.0,Yes
644296,201564,2263.0,Yes
644379,201234,301.0,Yes
644383,201344,648.0,Yes
644398,201124,2775.0,Yes
644598,201018,650.0,Yes
644601,201018,2775.0,Yes
644647,201018,1250.0,Yes
644752,201128,2775.0,Yes
644758,201018,2775.0,Yes
644776,201124,2700.0,Yes
644847,201124,2775.0,Yes
644926,201018,2775.0,Yes
644956,201018,2700.0,Yes
645153,201018,2775.0,Yes
645216,201128,2750.0,Yes
645279,201018,416.0,Yes
645286,201018,2775.0,No
645317,201018,2775.0,Yes
645381,201124,2775.0,Yes
645502,201018,1650.0,Yes
645518,201018,2775.0,Yes
645530,201018,2350.0,Yes
645609,201234,1200.0,No
645618,201018,2775.0,Yes
646052,201018,2750.0,Yes
646534,201018,0.0,Yes
646598,201018,2150.0,Yes
646633,201018,2775.0,Yes
646709,201018,950.0,Yes
646735,201018,1700.0,Yes
646921,201018,2750.0,Yes
647031,201018,400.0,Yes
647198,201124,2775.0,Yes
647247,201018,300.0,No
647646,201018,1100.0,Yes
647733,201018,2775.0,Yes
647754,201018,2775.0,Yes
647796,201124,2775.0,No
647798,201018,2775.0,Yes
647909,201018,1600.0,Yes
647927,201018,277.0,Yes
648052,201018,1950.0,Yes
648282,201018,850.0,No
648490,201018,2775.0,Yes
648521,201018,1250.0,Yes
648559,201018,2775.0,Yes
648717,201018,1100.0,Yes
648732,201018,2775.0,Yes
648770,201018,2775.0,Yes
648779,201018,2775.0,Yes
648793,201018,2450.0,Yes
648799,201124,2775.0,No
648820,201238,2750.0,Yes
648973,201898,3048.0,Yes
649089,201018,1550.0,No
649151,201018,2775.0,Yes
649229,201018,2775.0,Yes
649299,201124,1950.0,Yes
649365,201018,750.0,Yes
649366,201018,2775.0,No
649379,201234,1388.0,No
649437,201018,2775.0,Yes
649530,201018,2775.0,Yes
649566,201124,2250.0,Yes
649617,201018,588.0,Yes
649621,201018,1200.0,Yes
649659,201018,2300.0,Yes
649679,201018,2775.0,Yes
649688,201018,1100.0,Yes
649733,201018,2775.0,No
649825,201018,2775.0,No
649862,201234,900.0,Yes
649922,201018,2000.0,Yes
649980,201124,2775.0,Yes
649988,201018,1388.0,Yes
649989,201018,2775.0,Yes
649991,201018,2775.0,Yes
650150,201018,2775.0,Yes
650160,201018,2775.0,Yes
650255,201018,1600.0,Yes
650277,201018,2775.0,Yes
650313,201018,2775.0,Yes
650440,201018,2775.0,Yes
650459,201018,2775.0,Yes
650583,201124,2775.0,Yes
650612,201018,2775.0,Yes
650685,201344,2798.0,Yes
651061,201018,1750.0,Yes
651258,201124,1800.0,Yes
651291,201018,1300.0,No
651301,201018,2775.0,Yes
651378,201018,2750.0,Yes
