UID,TERM,LOAN,GRADUATED
592704,201018,11490.0,Yes
592713,201904,8317.0,No
376308,201018,5750.0,Yes
592827,201564,11542.0,No
592836,201454,2750.0,Yes
592932,201018,8150.0,Yes
592935,201124,3150.0,Yes
592944,201018,3250.0,Yes
592990,201018,12050.0,Yes
592994,201018,3750.0,Yes
592996,202344,1750.0,No
592998,201018,7300.0,Yes
593036,201018,3250.0,Yes
593075,201018,2750.0,Yes
593088,201018,3750.0,Yes
593090,201018,12250.0,Yes
593093,201018,3250.0,Yes
593127,201018,3750.0,Yes
593230,201018,20750.0,Yes
593239,201124,5000.0,Yes
593309,201454,13847.0,Yes
593336,201018,4150.0,No
593364,201018,1500.0,Yes
593480,201018,9517.0,Yes
523044,201124,4000.0,Yes
593592,201018,2750.0,Yes
593610,201018,14250.0,Yes
386734,201018,6250.0,No
593925,201018,8750.0,Yes
593996,201348,3250.0,Yes
594001,201018,2250.0,No
594060,201018,3750.0,Yes
594097,201018,6250.0,Yes
594104,201018,6630.0,Yes
594109,201018,4250.0,Yes
594200,201018,6250.0,No
594254,201018,9400.0,Yes
594431,201018,10150.0,No
594497,201124,2750.0,Yes
594499,201124,2150.0,Yes
594506,201018,11300.0,Yes
594533,201018,5150.0,Yes
594622,201124,5250.0,No
594652,201018,2500.0,Yes
594654,201238,2750.0,Yes
594669,201018,2750.0,Yes
594787,201018,2750.0,Yes
594809,201018,3250.0,Yes
594817,201018,925.0,Yes
594829,201344,2250.0,Yes
594869,201018,12500.0,Yes
595081,201124,9750.0,Yes
595109,201344,2750.0,No
595236,201124,12759.0,Yes
595309,201234,9547.0,No
595517,201018,3500.0,Yes
595576,201128,4250.0,Yes
595591,201018,5150.0,Yes
595650,201018,6750.0,Yes
527764,201018,9750.0,Yes
595939,201018,1875.0,No
596055,201018,5750.0,Yes
596183,201018,3250.0,No
596187,201018,6750.0,Yes
596378,201018,5500.0,Yes
596379,201018,3750.0,Yes
596388,201344,17242.0,Yes
596554,201018,3750.0,Yes
596578,201234,9100.0,Yes
596612,201124,6900.0,Yes
596621,202014,19229.0,No
596648,201344,3750.0,Yes
596719,201018,7700.0,Yes
596721,201238,2750.0,Yes
597085,201018,2849.0,Yes
597170,201018,4250.0,Yes
597251,201018,2750.0,Yes
597280,201124,3750.0,Yes
597284,201018,4750.0,Yes
597372,201018,3250.0,Yes
597422,201018,4250.0,Yes
597424,201018,9750.0,Yes
597425,201018,2750.0,Yes
597427,201018,1750.0,Yes
597536,201018,6250.0,Yes
597655,201018,4250.0,Yes
597857,201124,6250.0,Yes
597864,201018,8750.0,Yes
597989,201018,6900.0,Yes
598049,201018,2750.0,Yes
598060,201124,3750.0,Yes
598133,201234,6250.0,Yes
598263,201018,10750.0,Yes
598320,201018,5500.0,Yes
598363,201018,3749.0,Yes
598375,201018,16094.0,Yes
598381,201018,11250.0,Yes
598387,201018,4250.0,Yes
598390,201018,9150.0,Yes
598394,201018,4250.0,Yes
598413,201018,11250.0,Yes
598502,201124,5150.0,Yes
598528,201018,7150.0,Yes
598547,201018,4750.0,No
598704,201018,10459.0,Yes
301391,201124,6650.0,No
599050,201234,3250.0,No
599063,201018,3650.0,No
599074,201018,5500.0,Yes
599097,201018,4250.0,Yes
599113,201018,2750.0,Yes
599123,201344,2750.0,Yes
599124,201564,2750.0,Yes
533328,201018,4250.0,Yes
599171,201018,4200.0,Yes
599256,201784,5850.0,Yes
599267,201018,12500.0,Yes
599306,201018,9459.0,Yes
599331,201234,2250.0,Yes
599460,201018,10825.0,Yes
599476,201018,3750.0,Yes
599496,201018,4250.0,Yes
599563,201018,3250.0,Yes
599580,201124,5174.0,No
599584,201018,15937.0,Yes
599623,201124,5500.0,No
599648,201124,3750.0,Yes
599655,201018,3750.0,Yes
599658,201018,8250.0,Yes
599764,201018,4250.0,Yes
599768,201018,4250.0,Yes
599849,201124,3750.0,Yes
600003,202124,0.0,No
600051,201018,6750.0,Yes
600082,201018,9000.0,No
600129,201018,500.0,Yes
600230,201124,4250.0,Yes
600262,201234,12118.0,Yes
600341,201018,0.0,Yes
600343,201124,4250.0,Yes
600419,201018,5750.0,Yes
600483,201018,9250.0,Yes
600641,201018,5048.0,No
600656,201124,4250.0,Yes
600687,201454,3250.0,Yes
600764,201018,3250.0,Yes
600841,201018,11959.0,Yes
601070,201018,1890.0,Yes
601098,201018,9212.0,No
601135,201018,5250.0,Yes
601209,201124,4250.0,Yes
601241,201018,2750.0,Yes
601259,201018,10000.0,Yes
601267,201124,7250.0,Yes
601282,201128,2750.0,Yes
601318,201018,20838.0,Yes
601334,201018,3150.0,No
601481,201234,3250.0,Yes
601627,201018,4250.0,Yes
601815,201344,1750.0,Yes
601826,201018,6968.0,Yes
601888,201018,13044.0,Yes
602220,201124,2650.0,Yes
602227,201124,6750.0,Yes
602669,201124,14750.0,Yes
602674,201124,7401.0,Yes
602860,201018,3858.0,Yes
603229,201018,3750.0,Yes
603232,201128,4250.0,Yes
603287,201018,3750.0,Yes
603376,201018,500.0,Yes
603382,201018,6750.0,Yes
603412,201018,3750.0,Yes
603434,201128,12500.0,No
603471,201018,6750.0,Yes
603524,201018,2750.0,Yes
603574,201344,4750.0,Yes
603734,201018,3750.0,Yes
603821,201018,4250.0,Yes
603867,201018,4250.0,No
604130,201018,8450.0,No
604192,201018,1747.0,No
604216,201018,6650.0,No
604309,201018,6250.0,Yes
604315,201018,6000.0,Yes
604397,201018,4750.0,Yes
604428,201018,6500.0,Yes
604519,201018,3150.0,Yes
604543,201128,3150.0,No
604560,201018,10566.0,Yes
604597,201124,4250.0,Yes
604651,201018,7750.0,Yes
604655,201124,1750.0,Yes
604671,201018,4750.0,Yes
604764,201018,3750.0,Yes
604842,201018,6750.0,Yes
604952,201018,8500.0,Yes
604972,201128,10750.0,Yes
605135,201018,3750.0,Yes
605282,201018,3750.0,Yes
605498,201018,15400.0,Yes
605713,201018,13000.0,Yes
605726,201018,8750.0,Yes
605855,201018,13289.0,Yes
605948,201018,4250.0,Yes
606045,201018,1000.0,Yes
606077,201018,3750.0,Yes
606118,201018,8750.0,Yes
606149,201018,4250.0,Yes
606179,201018,5500.0,Yes
606300,201018,4250.0,Yes
606312,201124,3250.0,Yes
606426,201018,8093.0,No
606435,201018,6250.0,Yes
606467,201018,3250.0,Yes
606666,201018,5250.0,No
606676,201018,4250.0,Yes
606833,201018,10750.0,Yes
606841,201018,2750.0,Yes
606862,201018,6150.0,Yes
606888,201018,3250.0,Yes
