UID,TERM,FGEN,GRADUATED
571243,201018,No,Yes
571598,201018,No,Yes
571602,201124,No,Yes
571629,201018,No,Yes
571657,201018,No,Yes
571660,201018,No,Yes
571671,201018,Yes,Yes
571741,201018,No,Yes
571776,201018,No,Yes
571863,201018,No,No
571871,201018,No,Yes
572064,201018,Yes,Yes
572167,201018,No,Yes
572326,201018,Yes,Yes
572393,201018,Yes,Yes
572424,201018,No,Yes
572523,201018,No,No
572531,201018,No,Yes
572667,201018,Yes,Yes
572755,201018,Yes,Yes
572790,201018,No,Yes
572885,201018,No,Yes
572921,201018,Yes,Yes
572958,201018,No,Yes
572972,201018,No,Yes
260114,201018,No,Yes
573165,201018,No,Yes
573549,201018,No,Yes
573563,201018,No,Yes
573649,201124,No,Yes
573680,201018,No,Yes
573683,201018,No,Yes
573750,201018,No,Yes
573834,201018,Yes,Yes
573969,201018,No,Yes
573981,201124,No,Yes
574074,201124,Yes,Yes
574155,201018,No,Yes
574401,201018,No,Yes
574468,201018,No,Yes
574592,201018,No,Yes
574602,201018,No,Yes
574711,201018,Yes,Yes
574719,201018,No,Yes
574818,201018,No,Yes
386498,201018,No,Yes
574975,201018,No,Yes
575006,201018,Yes,Yes
575007,201018,Yes,Yes
575026,201018,No,Yes
575052,201124,No,Yes
384555,201018,Yes,Yes
575188,201018,No,Yes
575194,201018,No,Yes
575211,201018,No,Yes
575219,201018,No,Yes
575222,201018,Yes,No
575231,201018,No,Yes
575242,201018,No,Yes
575250,201018,No,Yes
575254,201018,Yes,Yes
575269,201018,No,Yes
575363,201018,No,Yes
575496,201018,No,Yes
575615,201018,No,Yes
385168,201018,No,Yes
575660,201018,Yes,Yes
575728,201018,Yes,Yes
575760,201018,No,Yes
575790,201018,No,Yes
575845,201018,No,Yes
575850,201018,No,Yes
575856,202124,No,No
575939,201018,No,Yes
575947,201018,No,Yes
575958,201018,No,Yes
575960,201018,No,Yes
576219,201018,No,Yes
576261,201018,No,Yes
576299,201018,No,Yes
576304,201018,Yes,Yes
576319,201018,No,Yes
576329,201018,Yes,Yes
576334,201018,Yes,No
576367,201018,No,Yes
576404,201018,Yes,Yes
576464,201124,No,Yes
368403,201018,No,Yes
576468,201018,No,Yes
383618,201018,Yes,Yes
576516,201018,Yes,No
576517,201018,Yes,Yes
345959,201018,No,Yes
576530,201018,Yes,Yes
576598,201018,No,Yes
