UID,TERM,PLU_SCHOLARSHIP,GRADUATED
537498,201018,2109.0,Yes
588223,201018,6499.0,Yes
588256,201018,8500.0,Yes
538137,201018,6611.11,Yes
588358,201018,6651.0,Yes
588364,201128,4000.0,Yes
588401,201018,5000.0,Yes
588410,201018,8500.0,Yes
588425,201018,7999.0,Yes
385536,201018,8000.0,Yes
386966,201018,14600.0,Yes
588462,201018,8511.0,Yes
588463,201458,10096.0,Yes
588467,201018,6000.0,Yes
588489,201018,5500.0,Yes
541130,201018,10599.0,Yes
588500,201894,14856.0,Yes
588531,201128,13628.0,Yes
588529,201018,2843.0,Yes
588568,201018,6500.0,Yes
588570,201018,9371.0,Yes
537181,201018,7000.0,Yes
588737,201018,8000.0,Yes
588748,201018,2348.0,Yes
588758,201018,0.0,Yes
588840,201124,3000.0,No
588867,201018,6000.0,Yes
588874,201018,6499.0,Yes
588898,201018,4500.0,Yes
588906,201018,5684.0,Yes
589119,201018,7727.0,Yes
589173,201018,8841.0,Yes
589260,201018,5000.0,Yes
589267,201018,7500.0,Yes
589301,201018,0.0,No
589303,201018,11000.0,Yes
589327,201128,8875.0,Yes
589345,201018,0.0,Yes
589369,201018,14600.0,Yes
589539,201018,5510.0,Yes
537436,201018,5000.0,Yes
589822,201018,9227.0,Yes
589877,201018,8906.0,Yes
589885,201018,8999.0,Yes
536528,201018,6500.0,Yes
590046,201018,5499.0,Yes
590132,201018,10302.0,Yes
590142,201018,5000.0,Yes
590168,201018,8000.0,No
590182,201018,9500.0,Yes
590204,201018,10500.0,Yes
590242,201018,6000.0,Yes
590257,201018,6000.0,Yes
590288,201018,3999.0,Yes
590329,201124,2500.0,Yes
590366,201018,7929.0,Yes
590378,201018,1925.0,Yes
590384,201018,3657.0,Yes
590491,201018,6566.0,Yes
590520,201124,3750.0,Yes
590596,201018,8360.0,Yes
590600,201018,4500.0,Yes
590601,201018,6000.0,Yes
590697,201018,1086.0,Yes
590775,201018,6946.0,Yes
590784,201018,6508.0,Yes
590839,201018,6000.0,Yes
590842,201018,4500.0,Yes
590874,201018,5732.0,Yes
590923,201018,5000.0,Yes
590948,201018,6832.0,Yes
590976,201018,5000.0,Yes
591011,201018,3588.0,Yes
591122,201018,1789.0,Yes
591131,201018,8140.0,Yes
591135,201018,7064.0,No
591141,201018,8565.0,Yes
591144,201018,5116.0,Yes
386750,201018,5180.0,Yes
591208,201018,7864.0,Yes
591214,201124,5000.0,No
591215,201018,9500.0,Yes
591225,202234,14850.0,No
591279,201018,4500.0,Yes
591283,201018,8000.0,Yes
381175,201018,0.0,Yes
591499,201124,8750.0,Yes
591502,201018,8750.0,Yes
591584,201018,3650.0,Yes
591647,201018,6500.0,Yes
591714,201018,8341.0,Yes
591735,201018,8866.0,Yes
