UID,TERM,NON_PLU_SCHOLARSHIP,GRADUATED
606315,201018,2000.0,Yes
606412,201124,500.0,Yes
606426,201018,5853.0,No
606435,201018,7133.0,Yes
606448,201344,2048.0,Yes
606591,201018,7133.0,Yes
606666,201018,4471.0,No
606833,201018,500.0,Yes
606862,201018,500.0,Yes
606952,201018,500.0,Yes
608008,201018,500.0,Yes
608223,201018,8733.0,Yes
609133,201018,4421.0,Yes
609636,201018,500.0,Yes
609690,201018,4171.0,Yes
609757,201018,5696.0,Yes
610005,201018,4469.0,Yes
610045,201124,2700.0,Yes
610682,201234,2050.0,Yes
610757,201018,7117.0,Yes
610893,201018,5651.0,Yes
610909,201124,6628.0,Yes
611317,201018,4675.0,No
611567,201018,4537.0,Yes
611889,201018,4353.0,No
612023,201018,6612.0,Yes
612378,201128,2250.0,Yes
612622,201018,2875.0,Yes
613290,201018,8733.0,Yes
613394,201128,2050.0,No
614160,201018,3521.0,Yes
614177,201018,5479.0,No
614233,201018,3200.0,Yes
614810,201018,4628.0,Yes
614860,201018,1800.0,Yes
615159,201018,6188.0,Yes
615174,201128,2464.0,Yes
615311,201018,3866.0,Yes
615351,201018,6258.0,Yes
615412,201018,6073.0,Yes
615474,201018,1450.0,Yes
615631,201018,3025.0,Yes
615673,201018,5292.0,Yes
615761,201234,4447.0,No
615808,201124,6409.0,Yes
616003,201018,2772.0,Yes
616021,201018,6733.0,Yes
616201,201018,1700.0,Yes
616329,201018,2272.0,Yes
616358,201018,4971.0,Yes
616425,201018,9133.0,No
616464,201018,1650.0,Yes
616498,201018,500.0,Yes
616646,201018,1800.0,Yes
616861,201018,3275.0,Yes
617007,201018,500.0,Yes
617083,201128,1200.0,Yes
617088,201018,5372.0,Yes
617764,201018,500.0,Yes
617561,201018,3866.0,Yes
617667,201018,2578.0,Yes
617673,201018,7133.0,Yes
617966,201018,7133.0,Yes
618075,201018,6733.0,Yes
618237,201018,6808.0,Yes
618296,201018,500.0,Yes
618351,201018,7133.0,Yes
618441,202344,7597.0,No
618488,201018,5968.0,Yes
