UID,TERM,WORK_STUDY,GRADUATED
633866,201238,1594.0,No
633916,201344,1800.0,Yes
633918,201018,1750.0,Yes
633964,201128,1750.0,No
634284,201018,1750.0,Yes
634311,201018,1750.0,Yes
634771,201124,1750.0,Yes
634928,201018,670.0,Yes
635082,201124,2500.0,Yes
635497,201018,2929.0,Yes
635687,201018,1750.0,Yes
635932,201124,1750.0,Yes
636185,201018,1000.0,Yes
636245,201018,1000.0,Yes
636340,201018,1576.0,Yes
636364,201128,1750.0,Yes
636510,201018,3500.0,Yes
636516,201124,2000.0,Yes
637027,201018,1000.0,Yes
637033,201018,1344.0,Yes
637219,201018,1750.0,Yes
637376,201018,1750.0,Yes
637510,201564,915.0,Yes
637565,201018,1750.0,Yes
386324,201124,1750.0,Yes
637786,201018,1750.0,Yes
637850,201018,1165.0,Yes
637857,201018,718.0,Yes
638017,201238,1750.0,Yes
638404,201124,2847.0,Yes
638446,201018,2450.0,Yes
638540,201018,2823.0,Yes
638541,201124,1750.0,Yes
638554,201124,1750.0,No
638565,201018,2000.0,Yes
639088,201564,1650.0,Yes
639498,201128,1750.0,Yes
639506,201018,1658.0,No
639780,201018,350.0,Yes
639805,201454,1950.0,Yes
639902,201124,2500.0,Yes
640101,201124,2131.0,No
640121,201018,2967.0,Yes
640153,201018,1107.0,Yes
640163,201018,651.0,Yes
640203,201018,1750.0,Yes
523057,201018,1000.0,Yes
640255,201018,1100.0,No
640322,201018,1750.0,Yes
640336,201018,1750.0,Yes
640352,201124,1000.0,Yes
640358,201018,1800.0,No
640359,201018,2055.0,Yes
640560,201018,1750.0,Yes
640647,201018,1653.0,Yes
640966,201018,2992.0,Yes
641432,201018,3500.0,No
531575,201124,1750.0,Yes
641974,201018,3050.0,Yes
642302,201018,3500.0,Yes
642381,201018,1750.0,Yes
642452,201128,1750.0,Yes
642460,201018,1750.0,Yes
643259,201018,3850.0,Yes
643987,201018,1750.0,Yes
644159,201018,1750.0,Yes
644168,201018,1750.0,Yes
644198,201018,2350.0,Yes
644288,201018,1750.0,Yes
644296,201564,1900.0,Yes
644300,201018,2227.0,Yes
644379,201234,1751.0,Yes
644398,201124,1000.0,Yes
